DateTime,SyncDateUTC,Provider,DeviceName
7/14/2023 5:12:59 PM,7/14/2023 5:12:59 PM,Fitbit,Inspire 2
7/14/2023 5:28:59 PM,7/14/2023 5:28:59 PM,Fitbit,Inspire 2
7/14/2023 5:44:59 PM,7/14/2023 5:44:59 PM,Fitbit,Inspire 2
7/14/2023 6:01:00 PM,7/14/2023 6:01:00 PM,Fitbit,Inspire 2
7/14/2023 6:17:00 PM,7/14/2023 6:17:00 PM,Fitbit,Inspire 2
7/14/2023 6:33:00 PM,7/14/2023 6:33:00 PM,Fitbit,Inspire 2
7/14/2023 6:56:20 PM,7/14/2023 6:56:20 PM,Fitbit,Inspire 2
7/14/2023 7:56:58 PM,7/14/2023 7:56:58 PM,Fitbit,Inspire 2
7/14/2023 8:12:57 PM,7/14/2023 8:12:57 PM,Fitbit,Inspire 2
7/14/2023 8:28:56 PM,7/14/2023 8:28:56 PM,Fitbit,Inspire 2
7/14/2023 9:21:26 PM,7/14/2023 9:21:26 PM,Fitbit,Inspire 2
7/14/2023 9:49:56 PM,7/14/2023 9:49:56 PM,Fitbit,Inspire 2
7/14/2023 10:49:53 PM,7/14/2023 10:49:53 PM,Fitbit,Inspire 2
7/15/2023 10:17:53 AM,7/15/2023 10:17:53 AM,Fitbit,Inspire 2
7/15/2023 11:54:35 AM,7/15/2023 11:54:35 AM,Fitbit,Inspire 2
7/15/2023 12:23:04 PM,7/15/2023 12:23:04 PM,Fitbit,Inspire 2
7/15/2023 1:49:22 PM,7/15/2023 1:49:22 PM,Fitbit,Inspire 2
7/15/2023 2:05:20 PM,7/15/2023 2:05:20 PM,Fitbit,Inspire 2
7/15/2023 2:49:26 PM,7/15/2023 2:49:26 PM,Fitbit,Inspire 2
7/15/2023 3:57:03 PM,7/15/2023 3:57:03 PM,Fitbit,Inspire 2
7/15/2023 4:13:03 PM,7/15/2023 4:13:03 PM,Fitbit,Inspire 2
7/15/2023 7:47:17 PM,7/15/2023 7:47:17 PM,Fitbit,Inspire 2
7/16/2023 12:30:46 PM,7/16/2023 12:30:46 PM,Fitbit,Inspire 2
7/17/2023 8:09:01 AM,7/17/2023 8:09:01 AM,Fitbit,Inspire 2
7/17/2023 1:05:32 PM,7/17/2023 1:05:32 PM,Fitbit,Inspire 2
7/17/2023 6:08:22 PM,7/17/2023 6:08:22 PM,Fitbit,Inspire 2
7/17/2023 7:08:53 PM,7/17/2023 7:08:53 PM,Fitbit,Inspire 2
7/18/2023 10:48:41 AM,7/18/2023 10:48:41 AM,Fitbit,Inspire 2
7/18/2023 1:17:55 PM,7/18/2023 1:17:55 PM,Fitbit,Inspire 2
7/18/2023 2:23:41 PM,7/18/2023 2:23:41 PM,Fitbit,Inspire 2
7/18/2023 2:47:17 PM,7/18/2023 2:47:17 PM,Fitbit,Inspire 2
7/18/2023 4:26:01 PM,7/18/2023 4:26:01 PM,Fitbit,Inspire 2
7/18/2023 6:45:39 PM,7/18/2023 6:45:39 PM,Fitbit,Inspire 2
7/19/2023 8:39:36 AM,7/19/2023 8:39:36 AM,Fitbit,Inspire 2
7/19/2023 1:46:28 PM,7/19/2023 1:46:28 PM,Fitbit,Inspire 2
7/19/2023 2:46:38 PM,7/19/2023 2:46:38 PM,Fitbit,Inspire 2
7/19/2023 6:15:31 PM,7/19/2023 6:15:31 PM,Fitbit,Inspire 2
7/19/2023 6:42:43 PM,7/19/2023 6:42:43 PM,Fitbit,Inspire 2
7/20/2023 8:04:01 AM,7/20/2023 8:04:01 AM,Fitbit,Inspire 2
7/20/2023 9:04:56 AM,7/20/2023 9:04:56 AM,Fitbit,Inspire 2
7/20/2023 10:07:34 AM,7/20/2023 10:07:34 AM,Fitbit,Inspire 2
7/20/2023 6:25:32 PM,7/20/2023 6:25:32 PM,Fitbit,Inspire 2
7/20/2023 6:42:30 PM,7/20/2023 6:42:30 PM,Fitbit,Inspire 2
7/20/2023 8:37:57 PM,7/20/2023 8:37:57 PM,Fitbit,Inspire 2
7/20/2023 8:54:56 PM,7/20/2023 8:54:56 PM,Fitbit,Inspire 2
7/21/2023 8:22:20 AM,7/21/2023 8:22:20 AM,Fitbit,Inspire 2
7/21/2023 11:32:40 AM,7/21/2023 11:32:40 AM,Fitbit,Inspire 2
7/21/2023 6:28:17 PM,7/21/2023 6:28:17 PM,Fitbit,Inspire 2
7/21/2023 7:53:01 PM,7/21/2023 7:53:01 PM,Fitbit,Inspire 2
7/21/2023 8:23:32 PM,7/21/2023 8:23:32 PM,Fitbit,Inspire 2
7/22/2023 11:58:44 AM,7/22/2023 11:58:44 AM,Fitbit,Inspire 2
7/22/2023 12:47:03 PM,7/22/2023 12:47:03 PM,Fitbit,Inspire 2
